Position (mm),Etching Depth,Profile Type
-15.0,0.0,x_crosssect
-14.0,1.229,x_crosssect
-13.0,1.417,x_crosssect
-12.0,2.667,x_crosssect
-11.0,1.814,x_crosssect
-10.0,2.209,x_crosssect
-9.0,2.665,x_crosssect
-8.0,2.972,x_crosssect
-7.0,4.277,x_crosssect
-6.0,5.327,x_crosssect
-5.0,9.256,x_crosssect
-4.0,14.374,x_crosssect
-3.0,25.175,x_crosssect
-2.0,46.831,x_crosssect
-1.0,87.789,x_crosssect
0.0,144.571,x_crosssect
1.0,109.758,x_crosssect
2.0,67.242,x_crosssect
3.0,42.964,x_crosssect
4.0,25.5,x_crosssect
5.0,17.489,x_crosssect
6.0,12.104,x_crosssect
7.0,9.103,x_crosssect
8.0,6.678,x_crosssect
9.0,3.969,x_crosssect
10.0,2.067,x_crosssect
11.0,0.635,x_crosssect
12.0,0.0,x_crosssect
13.0,0.0,x_crosssect
14.0,0.0,x_crosssect
15.0,0.0,x_crosssect
-15.0,6.285,y_crosssect
-14.0,6.588,y_crosssect
-13.0,6.892,y_crosssect
-12.0,7.016,y_crosssect
-11.0,7.395,y_crosssect
-10.0,8.028,y_crosssect
-9.0,8.56,y_crosssect
-8.0,9.84,y_crosssect
-7.0,10.951,y_crosssect
-6.0,12.384,y_crosssect
-5.0,15.504,y_crosssect
-4.0,20.251,y_crosssect
-3.0,31.947,y_crosssect
-2.0,53.783,y_crosssect
-1.0,92.069,y_crosssect
0.0,146.814,y_crosssect
1.0,104.878,y_crosssect
2.0,71.129,y_crosssect
3.0,48.816,y_crosssect
4.0,33.303,y_crosssect
5.0,24.044,y_crosssect
6.0,18.452,y_crosssect
7.0,14.456,y_crosssect
8.0,12.041,y_crosssect
9.0,9.767,y_crosssect
10.0,7.577,y_crosssect
11.0,3.548,y_crosssect
12.0,0.2,y_crosssect
13.0,0.0,y_crosssect
14.0,0.0,y_crosssect
15.0,0.0,y_crosssect
