Y Position (mm),X Position (mm),Original Value
-11,-14,-0.0022683848088907842
-11,-13,-0.002615379393163735
-11,-12,-0.004922524235404176
-11,-11,-0.0033481285950593045
-11,-10,-0.004077186365207278
-11,-9,-0.00491883280365657
-11,-8,-0.0054854675769108255
-11,-7,-0.007894126792209865
-11,-6,-0.009832128459691752
-11,-5,-0.01708394612782181
-11,-4,-0.026530319969891122
-11,-3,-0.046465897122721894
-11,-2,-0.08643672008556874
-11,-1,-0.1620335508443551
-11,0,-0.2668369895900322
-11,1,-0.20258208287569945
-11,2,-0.12410962678554438
-11,3,-0.07929933680161422
-11,4,-0.04706575478170444
-11,5,-0.03227972491675421
-11,6,-0.022340544936382448
-11,7,-0.01680155159913163
-11,8,-0.012325690605185229
-11,9,-0.007325646303081749
-11,10,-0.0038150947111287477
-11,11,-0.001172029579858137
-12,-14,-0.008597881703128722
-12,-13,-0.009913098757797726
-12,-12,-0.018657893004267147
-12,-11,-0.012690445410476424
-12,-10,-0.015453800392360745
-12,-9,-0.01864390133347278
-12,-8,-0.02079162280040566
-12,-7,-0.02992118799371977
-12,-6,-0.037266815160754
-12,-5,-0.06475345243625662
-12,-4,-0.10055813799900114
-12,-3,-0.17612015612389378
-12,-2,-0.3276219674851271
-12,-1,-0.6141573936826417
-12,0,-1.0113949192050637
-12,1,-0.7678489015231917
-12,2,-0.47041396377687694
-12,3,-0.3005690720042496
-12,4,-0.17839380262797572
-12,5,-0.12235016526120288
-12,6,-0.08467759164741258
-12,7,-0.06368308962048877
-12,8,-0.04671818878233818
-12,9,-0.02776647069138963
-12,10,-0.014460391765961814
-12,11,-0.004442355477206466
-13,-14,-0.008975987849737922
-13,-13,-0.01034904376165877
-13,-12,-0.01947840487815383
-13,-11,-0.013248528852257606
-13,-10,-0.016133406965070027
-13,-9,-0.019463797900367424
-13,-8,-0.021705968990578604
-13,-7,-0.031237021996199443
-13,-6,-0.03890568533405525
-13,-5,-0.06760109319542239
-13,-4,-0.10498034935079974
-13,-3,-0.18386533288621001
-13,-2,-0.3420296883572634
-13,-1,-0.6411659864447854
-13,0,-1.0558726927782431
-13,1,-0.8016163339394102
-13,2,-0.4911012001562878
-13,3,-0.3137870968072743
-13,4,-0.1862389667764986
-13,5,-0.12773071725310545
-13,6,-0.08840142956324477
-13,7,-0.06648365939476344
-13,8,-0.04877269882876311
-13,9,-0.02898754741709503
-13,10,-0.015096311542236191
-13,11,-0.004637715447179483
-14,-14,-0.008975987849737936
-14,-13,-0.01034904376165879
-14,-12,-0.019478404878153856
-14,-11,-0.01324852885225762
-14,-10,-0.01613340696507004
-14,-9,-0.019463797900367452
-14,-8,-0.021705968990578632
-14,-7,-0.031237021996199498
-14,-6,-0.03890568533405531
-14,-5,-0.0676010931954225
-14,-4,-0.1049803493507999
-14,-3,-0.18386533288621024
-14,-2,-0.3420296883572636
-14,-1,-0.6411659864447867
-14,0,-1.055872692778245
-14,1,-0.8016163339394111
-14,2,-0.4911012001562882
-14,3,-0.31378709680727473
-14,4,-0.18623896677649893
-14,5,-0.12773071725310567
-14,6,-0.08840142956324488
-14,7,-0.06648365939476356
-14,8,-0.048772698828763165
-14,9,-0.028987547417095087
-14,10,-0.015096311542236219
-14,11,-0.004637715447179487
-15,-14,-0.008975987849737929
-15,-13,-0.010349043761658783
-15,-12,-0.01947840487815383
-15,-11,-0.013248528852257612
-15,-10,-0.01613340696507004
-15,-9,-0.01946379790036744
-15,-8,-0.021705968990578604
-15,-7,-0.03123702199619947
-15,-6,-0.03890568533405525
-15,-5,-0.06760109319542244
-15,-4,-0.10498034935079985
-15,-3,-0.18386533288621013
-15,-2,-0.3420296883572634
-15,-1,-0.6411659864447863
-15,0,-1.055872692778244
-15,1,-0.8016163339394107
-15,2,-0.4911012001562878
-15,3,-0.3137870968072745
-15,4,-0.18623896677649882
-15,5,-0.12773071725310545
-15,6,-0.08840142956324483
-15,7,-0.0664836593947635
-15,8,-0.04877269882876314
-15,9,-0.02898754741709506
-15,10,-0.015096311542236205
-15,11,-0.004637715447179483
