-15,1.38
-14.75,1.23
-14.5,1.595
-14.25,1.229
-14,1.194
-13.75,1.384
-13.5,1.25
-13.25,1.417
-13,1.771
-12.75,2.064
-12.5,2.036
-12.25,2.667
-12,2.276
-11.75,2.436
-11.5,2.172
-11.25,1.814
-11,1.689
-10.75,1.683
-10.5,1.801
-10.25,2.209
-10,1.976
-9.75,2.397
-9.5,2.649
-9.25,2.665
-9,2.386
-8.75,2.89
-8.5,3.047
-8.25,2.972
-8,3.435
-7.75,3.342
-7.5,4.242
-7.25,4.277
-7,3.973
-6.75,4.604
-6.5,4.736
-6.25,5.327
-6,6.301
-5.75,6.629
-5.5,8.128
-5.25,9.256
-5,10.198
-4.75,11.596
-4.5,12.627
-4.25,14.374
-4,16.709
-3.75,18.915
-3.5,21.23
-3.25,25.175
-3,29.568
-2.75,34.812
-2.5,40.372
-2.25,46.831
-2,54.276
-1.75,62.518
-1.5,72.937
-1.25,87.789
-1,105.498
-0.75,124.922
-0.5,141.061
-0.25,144.571
0,140.316
0.25,132.844
0.5,121.805
0.75,109.758
1,97.644
1.25,86.629
1.5,75.981
1.75,67.242
2,60.729
2.25,53.858
2.5,48.259
2.75,42.964
3,38.128
3.25,33.297
3.5,28.664
3.75,25.5
4,22.879
4.25,20.838
4.5,18.98
4.75,17.489
5,16.158
5.25,14.305
5.5,13.107
5.75,12.104
6,11.679
6.25,10.897
6.5,9.948
6.75,9.103
7,7.789
7.25,7.219
7.5,6.534
7.75,6.678
8,6.439
8.25,5.619
8.5,5.195
8.75,3.969
9,3.448
9.25,2.895
9.5,2.399
9.75,2.067
10,1.927
10.25,1.02
10.5,1.14
10.75,0.635
11,0.2
11.25,0
11.5,0
11.75,0
12,0
12.25,0
12.5,0
12.75,0
13,0
13.25,0
13.5,0
13.75,0
14,0
14.25,0
14.5,0
14.75,0
15,0
